ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
yaaH 	b0010	orf,_hypothetical_protein	0.4832419638	0.606875	-0.7205287044	0	-0.152	-0.0145	-0.02915	0.1635	-1.184	-0.7612	-0.9714	-0.7859	-0.8625	1.257	0.903	0.3448	1.417	1.39	2.174591	2.043	1.362	-0.02915	0.28095	0.1243	0.1506	0.2662	1.239	0.68225	1.029	0.7505	0.275	0.903	0.546	0.4751	-0.08927	1.299	2.566	1.422
b0011 	b0011	putative_oxidoreductase	0.7383416762	0.021375	-5.5479317698	-0.1047	-0.415	0.1506	-0.1361	0.3448	-0.7859	-0.7131	0.4005	-0.8365	-0.8625	0.1375	-0.074	0.5753	0.4114	0.6135	0.3103	0.6229	0.4005	0.3674	0.2612	0.09761	0.5753	0.4762	0.84	0.5216	0.5558	0.5975	0.4222	0.8718	0.7991	1.118	0.8074	0.696	1.118	1.551
htgA 	b0012	positive_regulator_for_sigma_32_heat_shock_promoters	0.7059395794	0.0355	-4.8160371652	-0.05889	-0.2515	0.433	-0.168561	0.3219	-0.5353	-0.2009	-0.415	-0.1681	-0.3585	-1.474	-0.3219	0.07039	0.251	0.3334	0.3219	0.6871	0.926	0.251	-0.04673	-0.08927	0.5361	-0.17685	1.124	-0.089595	0.696	0.661	-0.02915	0.669	1.526	1.043	1.595	1.257	1.433	1.257
yaaI 	b0013	orf,_hypothetical_protein	0.0858058611	1	0	-0.0145	-0.1844	-0.3959	-0.2688	-0.3401	-0.2345	0.189	0.4114	0.09761	0.4647	0.3219	2.272	-0.4739	-0.6215	0.7137	0.4436	1.566	1.305	0.1635	0.182	0.275	-0.2176	0.20625	0.09761	0.3044	0.1375	-0.11725	-0.8625	-0.304	0.2016	0.1506	-0.7859	1.373	1.227	0.189
dnaK 	b0014	chaperone_Hsp70;_DNA_biosynthesis;_autoregulated_heat_shock_proteins	0.0387226347	1	0	0.6781	1.007	0.7398	3.979	1.799	1.345	0.189	0.07039	3.51	2.111	1.245	1.131	0.8074	0.2869	2.245	1.384	1.761	0.516	2.16	1.941	2	3.069	1.5175	2.223	-0.6842	0.4222	1.0785	1.47	2.18	1.74	0.546	-0.3219	3.108	2.939	3.234
dnaJ 	b0015	chaperone_with_DnaK;_heat_shock_protein	0.2886969476	1	0	0.5261	0.5361	1.014	1.895	0.5656	1.227	0.2987	0.01436	2.121	0.9336	0.3674	0.5261	-0.0145	-0.2345	1.521	1.406	1	0.5059	1.293	1.1117	1.444	2.478	1.10795	2.064	-0.50465	-0.304	0.6435	0.9635	2.163	1.903	0.4222	0.2987	2.685	2.662	2.425
yi81_1 	b0016	IS186_hypothetical_protein	0.0793949442	1	0	-0.1681	0.1243	-0.2009	-0.1361	-0.811	-0.454	-1.059	-0.8625	-0.454	-1.059	-0.811	0.6135	-2	0.6599	-0.889	-0.2515	-0.8625	-0.5564	-0.2345	-0.90295	-0.811	0.2141	-1.0445	0.111	-1.8165	-0.889	-0.35655	-1.515	-0.5995	-0.5995	-1.059	-1.396	3.242	0.9928	2.173
yi82_1 	b0017	IS186_and_IS421_hypothetical_protein	-0.0781207633	1	0	-0.3959	-0.2515	-0.415	-0.1047	-0.8365	-0.5995	-1	-0.811	-0.5995	-1.152	0.2987	0.7824	0.516	0.3103	0.4005	1.531	0.6229	0.3334	-0.2345	-0.43655	-0.304	0.3561	-0.26061	-0.08927	-0.8028	-0.5353	-0.32195	-1.322	-0.7859	-0.6439	-1.218	-0.9714	-0.04394	-0.2176	-0.1203
gef 	b0018	Gef_protein_interferes_with_membrane_function_when_in_excess	0.0727293699	1	0	-0.1203	0.189	0.2388	0.6508	-0.02915	0.09761	0.2265	-0.3401	0.3674	-0.05889	1.281	0.9635	0.6508	0.3219	4.619	0.7655	1.367	1.628	0.6599	0.16753	0.02857	0.926	-0.021825	0.5059	0.039305	0.2141	0.02132	-0.0145	-0.1361	-0.454	-0.0145	-0.304	1.888	1.339	1.48
nhaA 	b0019	Na+/H_antiporter,_pH_dependent	0.6785158213	0.000875	-10.1584293626	0.3561	0.3448	1	1.064	0.6871	0.6781	0.4436	0.6229	0.856	0.6229	0.2869	0.1635	-0.08927	-0.02915	1.7	0.6415	0.7137	1.007	1.718	1.357	1.714	2.359	1.1324	2.759	1.359	1.7	1.1725	1.48	1.856	1.491	1.195	1.345	1.604	1.57	0.7398
nhaR 	b0020	transcriptional_activator_of_nhaA	0.1531327336	1	0	-0.1361	0.263	0.5361	1.214	0.4114	0.9486	0.4751	0.4436	0.5261	0.2141	0.4647	0.263	0.2141	0.251	1.014	0.2016	0.02857	0.6135	1.195	0.55085	0.585	1.683	0.5007	1.952	0.9025	1.17	0.2057	0.84	0.6599	0.757	0.9107	0.4542	0.5753	0.2141	-0.8625
insB_1 	b0021	IS1_protein_InsB	-0.6956135983	0.000875	-10.1584293626	-0.1047	0.02857	0	0.4222	0	-0.0145	0.111	0.01436	0.5656	0.6041	0.275	-0.04394	0.5558	0.4005	-0.1361	0.2388	0.1635	-0.074	-1.322	-0.6927	-0.5995	-1.089	-0.52945	-1.252	-0.23455	-0.6666	-0.5	-1.434	-1.396	-1.059	-0.5778	-0.2515	-0.454	-0.7131	-0.7612
insA_1 	b0022	IS1_protein_InsA	-0.513637797	0.332125	-1.5902017722	-0.5778	-0.3219	-0.0145	0.2265	0.251	-0.1361	-0.05889	-0.4739	0.05658	0.4005	-0.05889	-0.1361	0.1763	-0.02915	-0.2009	-0.1047	-0.1361	0.04264	-1.152	-0.02855	-0.2688	-1.184	-0.06273	-0.7859	0.23545	-1.12	-0.41825	-0.6666	-1.515	-0.889	-0.5778	-0.2515	-0.5564	-0.889	-0.8625
b0024 	b0024	orf,_hypothetical_protein	-0.3425729312	1	0	0.2388	-0.02915	0.1243	-0.4344	0.1375	0.1506	0.3334	0.3219	-0.1681	-0.05889	-0.1203	1.39	-0.3219	0.9635	0.904144	-0.3401	-0.074	-0.1203	0.09761	0.3646	-0.5146	-0.0145	0.92305	-0.08927	0.663	-0.2515	0.0555	0.251	-0.4941	-0.1047	-0.3585	-0.6215	-1.644	-0.9714	-0.7612
ribF 	b0025	putative_regulator	-0.8745003451	0.000125	-12.9657842847	-0.1681	0.1763	0.07039	0.4854	0.1243	0.4222	0.2869	0.3896	0.5059	0.5059	0.774	0.7908	0.5059	0.3448	-0.8625	-0.08927	-0.05889	-0.5564	0.09761	-2.398	-2.059	-1.434	-2.324	-2.474	-2.186	-1.322	-1.092	-0.8365	-1	-2.059	-2.556	-1.474	-1.943	-1.737	-3.322
ileS 	b0026	isoleucine_tRNA_synthetase	-0.8744186744	0.000125	-12.9657842847	-0.1681	0.3674	0.1243	0.275	0.04264	0.546	0.3674	0.263	0.6041	0.4222	-0.074	0.189	0.2869	0.251	-0.5564	-1	-1.12	-0.6897	0.4751	-1.21495	-1.029	-1.358	-2.1905	-2.556	-2.556	-2.837	-1.592	-0.08927	-1.69	-2.644	-2.737	-1.943	-1.184	-1.69	-1.786
lspA 	b0027	prolipoprotein_signal_peptidase_(SPase_II)	-0.7491938439	0.002	-8.9657842847	0.2016	0.3896	0.3334	0.1635	-0.05889	0.669	0.08406	0.4751	0.3561	0.2869	-0.7131	-0.1203	-0.5353	0.04264	-0.2515	-0.5564	-1.322	-0.811	0.4647	-0.9162	-0.5353	-0.889	-0.9714	-2.12	-1.0457	-1.434	-1.4715	0.3219	-0.454	-1.434	-1.286	-0.415	-1.322	-1.322	-1.515
slpA 	b0028	probable_FKBX-type_16KD_peptidyl-prolyl_cis-trans_isomerase_(a_rotamase)	-0.5149895219	0.974875	-0.0367108488	-0.3959	0	0.04264	0.08406	-0.1844	0.2987	0.2141	0.1506	0.02857	0.04264	-1.69	-0.4941	0.3448	-0.1047	0.4436	-0.5778	-0.8625	-0.9434	0.6781	0.82275	0.3334	-0.454	0.51365	-1.889	0.49055	-1.786	-1.4185	-0.4344	-1.12	-2.12	-2.059	-1.644	-1	-1.889	-2.474
yaaF 	b0030	orf,_hypothetical_protein	-0.2452150271	1	0	-0.074	-0.3585	-1.089	0.9782	-0.3219	0.5656	0.6323	0.09761	1.757	0.7049	-0.02915	0.4647	-1.089	-0.7131	0.6508	-0.7612	0.05658	-0.04394	0.848	0.032705	0.4114	0.3219	-0.1865	-0.6666	-0.9406	0.7137	0.0555	0.5059	0.5361	0.3785	0.4222	-0.3401	-1.286	-1.12	-2.396
dapB 	b0031	dihydrodipicolinate_reductase	-0.4242179884	0.893	-0.1632679195	0.09761	0.1506	-0.0145	0.111	0.1243	0.4854	-0.1203	-0.0145	0.4222	0.1506	-0.811	-1.184	-0.7131	0.05658	-0.8625	-1.69	-1.943	-1.644	0.4751	-0.1955	0.2869	-0.3401	-0.086165	-1.434	-0.181445	-0.5353	-0.893	0.2869	0.1506	-1.786	-0.8625	0.1635	-1.515	-1.358	-1.322
carA 	b0032	carbamoyl-phosphate_synthetase,_glutamine_(small)_subunit	-0.171041183	1	0	-0.8365	-1.396	-1	-2.644	-3.322	-1.889	-3.644	-4.059	-2.837	-2.943	0.1375	0.04264	0.05658	0.696	-0.152	-0.7612	-0.3959	0.3674	-1.184	-0.74685	-0.6215	-2.059	-1.1055	-3.322	-1.307	-5.644	-2.5295	-1.737	-2.059	-1.889	-2.396	-3.184	-5.644	-2.644	-2.322
carB 	b0033	carbamoyl-phosphate_synthase_large_subunit	-0.0213742612	1	0	-0.7131	-1.089	-1.059	-1.69	-2.644	-1.556	-3.059	-3.644	-2.396	-3.059	-0.0145	0.09761	-0.6439	0.8237	-0.3771	-0.5995	-0.1203	-0.074	-0.8625	-0.5919	-0.5353	-1.943	-0.3614	-2.943	-0.7149	-3.322	-1.822	-1.322	-1.434	-1.644	-2.184	-2.396	-1.837	-1.184	-1.434
caiF 	b0034	transcriptional_regulator_of_cai_operon	0.1889616061	1	0	-0.811	-1.358	-1.396	-5.644	-2.556	-1.089	-2.059	-2.184	-2	-1.737	0.1506	0.4957	0.4957	0.84	0.4005	0.1763	0.275	0.3785	-0.4739	0.2612	0.2987	-1.322	0.128875	-2.184	-0.04425	-2.474	-1	-0.304	-0.8365	-1.434	-1.059	-0.5995	-1.396	-1.396	-1.474
caiE 	b0035	possible_synthesis_of_cofactor_for_carnitine_racemase_and_dehydratase	0.7592861006	0.001125	-9.7958592832	-0.3401	-0.304	-0.2009	-0.6666	-0.3219	-0.2863	-0.3959	-0.5353	-0.5146	-0.6439	-0.6439	-0.3401	-1.252	0.07039	0.3334	-0.2009	0.04264	0.1243	0.4751	0.3212	0.1635	0.3103	0.1375	0.02857	0.29005	0.3103	-0.014575	-0.3585	0.4854	-0.2009	0.2869	0.4854	-0.0145	0.02857	0.4751
caiD 	b0036	carnitine_racemase	0.5480240934	0.389375	-1.3607678368	-0.5995	-0.3959	-0.1844	-2	-0.304	0.02857	0.2388	-0.2863	0.1243	-0.04394	-0.4941	-0.304	-0.3401	-0.2688	0.2869	0.09761	0.08406	0.6415	0.6781	0.6405	0.6508	0.84	0.62285	0.7398	0.5558	0.3896	0.1837	-0.4739	-0.2176	0.5261	1.17	1.251	-0.158502	-0.1844	-0.9714
caiC 	b0037	probable_crotonobetaine/carnitine-CoA_ligase	0.3682224158	0.996625	-0.0048773309	-0.1361	-0.2009	0.09761	-0.02915	-0.2009	0.2016	-0.1844	0.01436	-0.2009	-0.6215	-0.304	0.02857	-0.3401	0.546	0.01436	0.4542	0.1635	0.1375	-0.1047	0.090835	-0.08927	0.01436	-0.133	0.5361	-0.2033	0.3219	-0.029445	1.411	0.7991	1.379	1.422	1.795	-0.08927	0.02857	-1.218
caiB 	b0038	l-carnitine_dehydratase	-0.0991858478	1	0	-0.1203	-0.1361	0.5361	-0.02915	0.1763	-0.08927	0.111	-0.02915	-0.454	-0.05889	0.7137	2.746	-0.5564	0.774	1.197416	0	0.8074	1.233	0.2265	0.09007	0.3334	0.3785	0.339	0.04264	0.3895	0.3785	-0.2782	0.02857	0.2987	0.07039	0.2265	0.669	-0.2515	0.1243	-1.786
caiA 	b0039	probable_carnitine_operon_oxidoreductase	0.2990727515	1	0	-0.1361	-0.6439	0.251	0.08406	0.2016	0	0.1763	0.4222	0.111	0.2016	-0.8365	-0.2345	-0.7612	0.3334	-0.1681	1.131	0.2265	-0.1681	0	0.219985	0.05658	0.6871	0.221205	0	0.3593	0.2141	0.1008	1.333	0.7137	1.064	1.029	0.9336	-0.2009	-0.1681	-1.152
caiT 	b0040	probable_carnitine_transporter	0.6308772448	0.094875	-3.3978282092	-0.5146	-0.5778	0.05658	-0.5353	0.05658	-0.1681	-0.6439	-0.3771	-0.304	-0.454	-0.2009	-0.889	-0.6666	-1.12	0.2388	-0.8365	-0.737	-0.737	0.3103	0.38275	0.5558	0.6229	0.7166	-0.2176	0.39955	0.7908	0.258	1.036	1.299	0.757	1.757	1.328	0.02857	-0.1047	-0.4941
fixA 	b0041	probable_flavoprotein_subunit,_carnitine_metabolism	0.8265815092	0.000125	-12.9657842847	-0.6439	-0.6897	0.1375	0.07039	0.3561	-0.02915	0.5361	-0.5146	0.04264	-0.3585	-1	-0.5353	-1.322	-0.3219	0.4114	0.661902	0.4854	0.696	0.585	0.597	0.1635	1.195	0.581	1.251	0.8556	1.459	0.6865	1.536	0.856	1.766	1.599	1.305	1.609	2.157	1.989
fixB 	b0042	probable_flavoprotein_subunit,_carnitine_metabolism	0.7602318816	0.001875	-9.0588936891	-0.304	-0.7131	0.08406	-0.2688	-0.02915	-0.2345	-0.1681	-0.1681	-0.152	-1.322	-0.1047	-1.252	-0.6666	-1.358	0.1635	-0.3585	-0.2515	-0.04394	0.856	0.66415	0.6415	1.449	0.3141	0.5753	0.5563	1.176	0.42	0.4957	0.3334	0.546	1.836	0.4854	1.31	1.064	1.057
fixC 	b0043	flavoprotein;_electron_transport	0.7234041172	0.01625	-5.9434164716	-0.04394	-0.5146	0.1243	0	-0.2688	0.09761	-0.2515	-0.1203	-0.074	0.3219	-0.3959	-0.7131	-0.889	-0.3401	-0.074	0.01436	0.04264	0.1506	0.3103	0.1439	0.05658	1.007	0.07039	0.4647	0.3305	0.5059	0.1837	1.778	1.516	2.111	1.941	2.29	1.131	1.651	1.88
fixX 	b0044	putative_ferredoxin	0.484501949	0.966625	-0.048971787	-0.415	-0.7131	0.3103	-0.2688	-0.1047	0.189	0.3219	-0.152	-0.3585	-0.05889	0.1635	-0.7859	-0.9434	-1.152	1.057	-1.322	-0.454	-0.415	-0.08927	0.06345	0.08406	0.3674	0.263	0.4005	0.26285	0.3334	0.06875	0.08406	0.02857	0.3674	0.251	0.5261	0.5945	0.2141	0.696
yaaU 	b0045	putative_transport_protein	0.2946543656	1	0	-0.1361	-0.5353	-0.2009	-0.152	-0.2688	-0.0145	-0.1361	-0.2515	0.1243	-0.5146	0.585	0.851541	-1.12	-0.415	0.7991	0.9411	0.7398	-0.1844	-0.304	0.58935	0.4114	-0.152	0.29483	-0.6439	0.72225	0.08406	0.0753	-0.811	-0.415	0.04264	0.7225	0.3785	1.029	0.9336	-0.6666
yabF 	b0046	putative_NAD(P)H_oxidoreductase	-0.2972280894	1	0	-0.04394	-0.04394	-0.4344	0.4005	-0.4344	0.111	-0.02915	0.3103	-0.304	-0.4941	0.856	2.248	0.08406	-0.2688	0.576415	-0.811	0.693958	0.4647	-0.1203	0.269	0.433	-0.1361	0.3103	0.8156	0.36625	0.4647	-0.2075	-0.3585	-0.3585	-0.3771	0.189	-1.889	-0.730656	-1.286	-1.209812
kefC 	b0047	K+_efflux_antiporter,_glutathione-regulated	0.317209218	1	0	-0.08927	-0.6897	0.08406	0.01436	-0.05889	-0.4344	-0.5353	-0.5146	-0.5146	-0.5146	-0.3959	-0.074	-0.2345	-0.04394	0.3674	-0.174032	-0.3959	-0.3219	-0.6215	-0.129895	0.02857	-0.2176	-0.00871	-0.3585	0.1255	-0.2863	-0.1088	1.036	0.2869	0.9709	0.856	1.233	-0.3585	-0.8365	-1
folA 	b0048	dihydrofolate_reductase_type_I;_trimethoprim_resistance	-0.3298475733	0.9	-0.1520030934	-0.08927	0.04264	-0.08927	-0.4941	-1.358	-0.2863	-0.3401	-0.4941	-1.12	-1.644	-0.1681	-1.286	-0.5995	-0.6215	-1.218	-2.184	-1.515	-1.152	-1.515	-4.059	-2.737	-1.69	-3.753	-1.837	-2.837	-1.322	-0.893	-0.4941	0.07039	0.04264	-0.2515	-0.2515	-0.3959	-1.286	-1.396
apaH 	b0049	diadenosine_tetraphosphatase	0.0927269342	1	0	0	-0.3219	0.05658	-0.04394	-0.5564	-0.7859	-0.6666	-0.5353	-0.5995	-1.12	-0.5146	-0.454	-0.3959	0.3785	0.3219	-1.786	-0.3771	0.07039	-0.4941	-0.28805	0.08406	0.07039	-0.2302	-0.5146	-0.20945	-0.7859	-0.26765	-0.889	-0.6439	-0.2515	-0.3771	-0.2688	-0.02915	0.02857	-0.4344
apaG 	b0050	orf,_hypothetical_protein	0.244884199	1	0	-0.3219	-0.1681	-0.1844	-0.1361	-0.7131	-0.2863	-0.1203	-0.1844	-0.2345	-0.3959	0.2869	-0.1047	-0.152	0.111	-0.3401	-0.6666	-0.1361	0.2265	-0.05889	-0.25165	0	0.07039	-0.3041	-0.415	-0.52585	-0.4941	-0.19795	-0.1361	0.2016	0.1763	-0.2515	-0.02915	0.5753	0.6508	0.4222
ksgA 	b0051	S-adenosylmethionine-6-N',N'-adenosyl_(rRNA)_dimethyltransferase	0.0698483694	1	0	-0.1361	-0.05889	-0.074	-0.1047	-0.7859	-0.0145	-0.2009	0.04264	-0.2176	-0.2009	-0.6439	-0.5564	-0.6897	-0.074	-0.6439	-0.9434	-0.1047	0.189	0.1243	-1.0617	-0.5995	-0.152	-0.99125	-0.2515	-1.1535	-0.3219	-0.06015	-0.2688	-0.2345	-0.5353	-0.454	0.2016	0.7655	0.6781	0.4647
pdxA 	b0052	pyridoxine_biosynthesis	-0.3003463914	1	0	-0.152	-0.1844	-0.1681	0.04264	-0.6897	-0.5564	-0.811	-0.5778	-0.3219	-0.4941	-0.6439	-1.059	-0.811	-0.737	-0.4344	-0.9434	-0.415	-0.3585	0	-1.474	-0.8625	-0.5353	-2.252	-0.7859	-3.184	-1.358	-0.45795	-1.218	-1.029	-1.599	-2.12	-1.434	0.8156	0.4114	0.4957
surA 	b0053	survival_protein	-0.5105745264	0.455875	-1.1332898003	0.251	0.2141	0.263	0.3334	-0.02915	0.09761	0.2869	0.1243	0.2869	0.02857	-0.5146	-0.3401	-0.737	-0.2863	-0.6215	-0.7612	-0.5353	-0.3585	0.2141	-1.198	-0.9434	-0.4941	-2.184	-1.12	-2.6055	-0.8365	-0.609	-0.304	-0.8365	-1.252	-1.69	-0.8365	0.696	0.585	0.275
imp 	b0054	organic_solvent_tolerance	-0.377480197	0.999875	-0.0001803482	0.2016	0.6135	0.251	0.4005	0.433	0.4854	0.263	0.3448	0.4957	0.4005	-0.2515	-0.5146	-0.304	-0.5353	-0.6439	-0.6215	-0.1047	-0.5146	0.2016	0.55885	0.3896	0.02857	0.6953	-0.4344	0.60655	-0.3771	-0.31075	-0.9159	-1.184	-1.644	-1.889	-1.837	0.9709	0.433	0.1375
yabH 	b0055	putative_DNA_binding_protein	-0.4844569456	0.999375	-0.0009019663	-0.304	0.2141	-0.0145	-0.2176	-0.1361	0.111	0.1375	0.08406	-0.02915	0.09761	0.95139	1.459	2.17	0.549021	0.5945	0.4114	0.669	0.9411	0.111	-0.2705	-0.3219	0.1243	-0.1634	0.05658	-0.4255	0.3219	-0.014575	-1	-1.286	-0.7131	-1.396	-1.059	0.1243	-0.2515	-0.3585
yabP 	b0056	orf,_hypothetical_protein	-0.257270049	1	0	0	0.4957	0.111	-0.8365	-0.04394	0.3448	0.1763	0.189	-0.6215	-0.4739	0.04264	0.2141	0.02857	0.2987	-0.304	0.251	0.08406	-0.05889	0.1635	0.11582	0.263	0.5059	-0.024955	0.251	-0.1859	0.189	0.035195	-0.3401	-0.152	-1	-0.737	-0.1361	0	-0.5146	-1.218
yabQ 	b0057	orf,_hypothetical_protein	-0.087447827	1	0	-0.3585	0.3561	-0.3959	-0.5564	-0.3959	0.07039	0.2388	0.2869	-0.1047	-0.074	2.114	1.144	0.8639	-2.12	0.6229	1.293	1.84	0.09761	0.5361	-0.1859	-0.0145	-0.0145	0.13898	1.077	-0.038065	0.09761	0.02829	-1.786	-0.074	-0.5778	-1.644	-0.5353	0.5361	0.3219	0.3103
yabO 	b0058	orf,_hypothetical_protein	0.4998133898	0.356125	-1.4895443783	-0.1681	-0.074	1.014	-1.218	-1.152	0.3334	0.7655	1	-0.6439	-0.2176	-0.04394	0.4114	0.251	0.2016	1.585	3.974	0.9411	0.8797	0.3103	0.02915	0.3103	1.384	0.38845	2.16	0.18855	0.6323	0.703	0.4222	1.761	1.305	1.077	1.362	0.8319	0.9855	0.7655
hepA 	b0059	probable_ATP-dependent_RNA_helicase	0.6412792101	0.403875	-1.3080192494	0.4114	0.9709	1.384	-1.059	-1.286	0.7991	1.057	1.692	-0.6215	-0.2688	-0.3771	-0.811	-1.434	-1.322	0.848	-0.3771	-0.6215	0.5656	1.245	0.3662	0.8237	2.198	0.5558	3.281	0.7418	1.836	1.0975	0.7991	2.07	1.774	1.157	1.39	2.189	2.655	2.791
