ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
ileS 	b0026	isoleucine_tRNA_synthetase	-0.874418674	0.000125	-12.9657842847	-0.1681	0.3674	0.1243	0.275	0.04264	0.546	0.3674	0.263	0.6041	0.4222	-0.074	0.189	0.2869	0.251	-0.5564	-1	-1.12	-0.6897	0.4751	-1.21495	-1.029	-1.358	-2.1905	-2.556	-2.556	-2.837	-1.592	-0.08927	-1.69	-2.644	-2.737	-1.943	-1.184	-1.69	-1.786
pgi 	b4025	glucosephosphate_isomerase	-0.876421138	0.000125	-12.9657842847	-0.1047	0.669	0.4854	-0.1047	0.3219	0.4542	0.251	0.189	-0.2009	0.189	0.2265	-0.02915	0.3674	0.05658	-0.7612	-0.7131	-0.4739	-0.737	-0.152	-1.8075	-1.889	-1.474	-2.556	-2.252	-2.515	-2.474	-1.06	-0.8625	-1.837	-3.059	-2.184	-1.737	-0.5995	-1.434	-1.889
yhaJ 	b3105	putative_transcriptional_regulator_LYSR-type	-0.869918667	0.000125	-12.9657842847	0.2265	0.2141	-0.04394	0.4854	1.111	0	0.2869	-0.02915	0.4647	0.7655	-0.5564	0.3334	0.1635	0	-1.644	-1.250228	-0.5995	-1.152	-0.8365	-0.65255	-0.5146	-1.644	-0.7778	-1.837	-0.82645	-0.7612	-1.237	-1.434	-1.943	-1.786	-2.556	-2.184	-2.252	-2.059	-2.737
ybcU 	b0557	bacteriophage_lambda_Bor_protein_homolog	-0.783455067	0.000125	-12.9657842847	0.1243	0.757	0.7398	-0.5564	-1.434	0.3896	0.2987	0.6871	0.08406	0.05658	0.6415	0.6599	0.5059	0.84	0.1506	-2.12	-1	-0.05889	-1.152	-0.7889	-1.059	-1.943	-1.179	-2.737	-1.4005	-1.943	-1.322	-1.029	-1.434	-1.889	-2.12	-0.8365	-1.138148	-1.612647	-2.516806
mukF 	b0922	mukF_protein_(killing_factor_KICB)	-0.842778477	0.000125	-12.9657842847	-0.08927	0.1243	0.08406	0.189	0	0.3334	0.09761	0.05658	0.263	0.08406	0.4751	0.2016	0.546	0.08406	-0.2688	-0.8365	-0.4739	-0.5564	-1	-1.3175	-1.556	-2.059	-1.676	-2.474	-1.7135	-2.644	-0.737	-1.396	-0.9159	-0.5995	-1.599	-1.252	-1.943	-2.556	-2.943
smtA 	b0921	S-adenosylmethionine-dependent_methyltransferase	-0.747544982	0.000125	-12.9657842847	0.05658	0.4005	0.4114	-0.0145	-0.2688	0.5261	0.3448	0.2869	0.4854	0.2016	0.669	0.05658	-0.02915	0.2987	-0.9714	-1.089	-0.5564	-1	-0.889	-1.405	-1.556	-1.644	-0.9555	-1.943	-1.667	-1.218	-0.5145	-0.811	0.4005	-0.4941	-0.889	-0.7859	-2.322	-2.943	-3.644
sbcB 	b2011	exonuclease_I,_3'_-->_5'_specific;_deoxyribophosphodiesterase	-0.81880654	0.000125	-12.9657842847	0.2016	-0.0145	0.1243	-0.1047	0.3334	-0.1361	0.09761	0.2141	0.6781	0.6871	-0.7612	-0.4739	0.3896	0.8953	-1.515	-0.7612	-0.4739	-0.5995	-1.556	-1.07425	-1.089	-1.889	-0.84365	-1.889	-1.186	-1.69	-0.717	-0.3401	-1.837	-0.889	-1.889	-1.837	-1.252	-1.737	-3.644
gcvR 	b2479	transcriptional_regulation_of_gcv_operon	-0.83349552	0.000125	-12.9657842847	0.07039	-0.05889	-0.2176	0.6871	1.433	-0.3585	-0.074	-0.2009	1.131	1.585	-0.3401	-0.415	0.2987	0.02857	-1.515	-0.304	-0.5564	-1	-1.358	-1.322	-1.410922	-0.9434	-1.322	-1.322	-1.837	-1.286	-0.592	-0.9159	-1.515	-1.515	-1.786	-1.089	-1.059	-1.943	-1.943
yjbC 	b4022	orf,_hypothetical_protein	-0.763058062	0.000125	-12.9657842847	-0.0145	0.433	0.1506	-0.08927	0.3561	-0.02915	-0.2009	-0.152	-0.1203	-0.2345	-0.2009	-0.3771	-0.4344	0.3561	-1.786	-1.12	-1.252	-1.599	-1.515	-1.1837	-0.8365	-0.6666	-0.89295	-0.6215	-1.03555	-0.3959	-0.845	-2.644	-3.184	-2.943	-2.252	-1.943	-0.9434	-2.184	-2.252
cpxA 	b3911	probable_sensor_protein_(histidine_protein_kinase),_acting_on_arcA	-0.831433339	0.000125	-12.9657842847	0.08406	0.5261	0.01436	0.84	0.848	0.1763	0.1506	0.07039	0.433	0.4005	0.275	0.6415	1.176	0.6508	-0.2863	-0.05889	0.3219	0.2141	-0.5146	-0.9445	-0.8625	-1.029	-0.8782	-1.286	-0.5149	-0.889	-0.4445	-1.184	-2.252	-2.396	-1.599	-1.358	-0.889	-2.396	-2.396
yafJ 	b0223	putative_amidotransferase	-0.680730226	0.000125	-12.9657842847	0.1375	0.251	0.07039	0.5261	0.6871	-0.2688	0.04264	0.1375	0.1635	0.263	0.251	0.2388	-0.152	0.111	-1.434	-1.286	-0.9159	-1.396	-1.556	-1.829	-2	-1.12	-1.7615	-2.059	-1.305	-1.358	-0.5445	-1.218	0.01436	-0.2688	0.1763	0.1506	-1.434	-1.902814	-2.556
pncB 	b0931	nicotinate_phosphoribosyltransferase	-0.814288308	0.000125	-12.9657842847	-0.05889	0.275	0.2869	-0.1047	0.1375	0.1506	-0.08927	0.3448	0.04264	0.09761	0.08406	-0.2176	0.2388	0.4114	-0.6666	-0.2345	0.01436	-0.304	-0.811	-1.771	-2.184	-1.059	-1.5975	-1.556	-1.69	-0.9714	-1.0295	-1.837	-0.7612	-1.943	-1.089	-0.5995	-1.837	-1.837	-2.396
yraL 	b3146	orf,_hypothetical_protein	-0.754303339	0.000125	-12.9657842847	-0.0145	0.275	0.01436	-0.0145	0.1635	-0.0145	0.2141	0.2265	0.1763	0.111	0.7824	-0.4739	-0.304	0.01436	-1.515	-1.029	-0.9714	-1.218	-0.9159	-1.244	-1.474	-1.434	-1.201	-1.434	-1.04025	-1.184	-0.5	-0.7131	-0.737	-0.3771	-1.089	-0.4941	-1.599	-3.059	-3.322
ydiJ 	b1687	putative_oxidase	-0.841374161	0.000125	-12.9657842847	0.2388	0.1635	0.3561	0.516	0.02857	0.3561	0.2388	0.263	0.2016	0.3674	-0.1681	-0.3771	-0.1681	-0.2176	-1.218	-1.322	-1.474	-1.286	-0.304	-0.4607	-0.7131	-1.184	-0.6606	-1.556	-0.613	-1.286	-0.778	-0.4941	-0.7612	-1.69	-1.737	-1.515	-1.184	-1.737	-3.184
ycbK 	b0926	orf,_hypothetical_protein	-0.780546729	0.000125	-12.9657842847	-0.1844	-0.2863	-0.2345	-0.3771	-0.2515	-0.737	-0.6666	-0.9159	-0.6439	-0.6897	-0.1681	-0.152	-0.1047	0.1243	-2.184	-1.599	-2.322	-1.69	-1.737	-1.1235	-1.599	-1.644	-1.3915	-2.737	-1.044	-2	-0.9445	-1.184	-1.515	-1.69	-1.786	-0.7131	-1.599	-2.184	-2.556
yidQ 	b3688	orf,_hypothetical_protein	-0.801453522	0.000125	-12.9657842847	0.08406	-0.0145	-0.1681	1.144	0.251	-0.04394	0.09761	-0.1203	0.669	0.5261	-0.5564	0.4114	-0.074	-0.3585	-0.9434	0.433	-1.474	-1.218	-1.322	-1.185	-0.811	-1.059	-0.83675	-1.644	-0.935	-0.8365	-0.626	-1.184	-1.644	-1.515	-1.434	-0.737	-1.184	-1.737	-2.12
recC 	b2822	DNA_helicase,_ATP-dependent_dsDNA/ssDNA_exonuclease_V_subunit,_ssDNA_endonuclease	-0.747315196	0.000125	-12.9657842847	0.251	0.1506	-0.08927	0.5945	0.6415	0.1506	0.111	0.02857	0.516	0.4436	0.07039	0.263	0.2388	0.4436	-0.737	-1.152	-0.811	-0.889	-0.6439	-0.4698	-0.4344	-1.358	-0.8702	-1.69	-1.271	-0.6897	-0.576	-0.6666	-0.3401	-0.8365	-0.4941	-0.1361	-1.434	-1.69	-3.644
yacE 	b0103	putative_DNA_repair_protein	-0.777775587	0.000125	-12.9657842847	0.09761	0.6229	0.251	-0.454	-0.1203	0.2987	0.1243	0.2016	-0.2009	-0.2345	0.1375	-0.1844	0.05658	0.111	-0.5353	-2.396	-1.059	-0.7859	-0.6666	-1.15595	-1.286	-0.7859	-0.621445	-0.8365	-0.8112	-1.434	-0.845	-1.837	-1.252	-1.889	-1.737	-0.8365	-0.1681	-1.322	-2.059
yraN 	b3148	orf,_hypothetical_protein	-0.877014104	0.000125	-12.9657842847	0.2265	0.4222	-0.2009	0.1243	-0.0145	-0.1047	0.111	-0.04394	-0.1681	-0.2176	-0.3771	0.1506	0.4436	0.4436	-0.8625	-0.2176	-0.2176	-0.6666	-0.5995	-0.8333	-1.184	-0.737	-0.9726	-1.474	-0.97575	-1.12	-1	-1.322	-1.556	-1.737	-1.889	-1.252	-1.089	-1.599	-2.594913
ubiC 	b4039	chorismate_lyase	-0.743059554	0.000125	-12.9657842847	0.4114	0.3448	0.4751	0.7908	0.5361	0.6135	0.433	0.8639	1.281	1.227	-0.2009	-0.0145	0.04264	0.2869	-0.9159	-0.5778	-0.4739	-0.3401	-0.454	-1.302	-1.515	-0.2688	-1.488	-0.8365	-1.359	0.275	-0.16095	-0.6439	-0.5564	-0.889	-0.889	0.1375	0.1635	-1.029	-1.252
pepA 	b4260	aminopeptidase_A/I	-0.8595678	0.000125	-12.9657842847	0.3561	0.3674	0.189	0.669	0.7137	0.1763	0.251	0.3103	0.84	0.4436	-0.074	0.6599	0.6041	0.01436	-0.1203	-0.074	0.4436	-0.2515	-0.2345	-1.0895	-0.7612	-1.184	-1.287	-1.556	-1.168	-0.889	-0.3806	-0.7131	-1.252	-1.322	-0.9434	-0.4941	-0.1203	-0.9159	-1.644
cls 	b1249	cardiolipin_synthase,_a_major_membrane_phospholipid;_novobiocin_sensitivity	-0.778823744	0.000125	-12.9657842847	0	0.02857	-0.02915	0	0.774	-0.2863	-0.2515	-0.4344	-0.074	0.1243	-0.1844	0.111	0.05658	0.189	-0.889	-1.029	-0.4344	-0.9714	-1.286	-1.076	-0.9159	-1.474	-0.729	-1.943	-0.83675	-2.322	-1	-0.415	-2.059	-1.152	-2	-0.6439	-0.6666	-0.5778	-1.286
yadF 	b0126	putative_carbonic_anhdrase_(EC_4.2.1.1)	-0.845100484	0.000125	-12.9657842847	0.1243	0.3103	-0.0145	0.6041	0.7485	-0.1203	-0.1844	0.04264	0.6599	0.7398	0.08406	0.3561	-0.5146	0.3785	-1.12	-1.322	-0.7131	-1.152	-0.4344	-0.97825	-1.152	-0.6666	-1.1875	-1.218	-1.0045	-1.474	-0.7575	-0.08927	-0.3401	-0.889	-1.059	-0.9159	-0.3771	-0.8625	-1.059
msbA 	b0914	ATP-binding_transport_protein;_multicopy_suppressor_of_htrB	-0.770537814	0.000125	-12.9657842847	-0.3771	0.433	0.3674	-0.1844	-0.6439	0.6041	0.6229	0.669	-0.2009	-0.1047	-0.04394	-1.059	-0.0145	0.09761	-1.152	-1.252	-1.737	-1.12	-0.8365	-1.515	-1.252	-0.4739	-1.17575	-0.5564	-1.27	-1.286	-0.576	-1.12	-1.252	-1.599	-1.218	-0.8365	-0.7859	-0.7859	-1.434
crl 	b0240	transcriptional_regulator_of_cryptic_csgA_gene_for_curli_surface_fibers	-0.867910521	0.000125	-12.9657842847	-0.5564	0.01436	0.111	0.5945	0.4542	0.433	0.3448	0.1635	0.6599	0.8156	0.01436	0.4647	0.7991	0.4436	-0.454	-0.6666	-0.074	-0.6897	-1.089	-1.12	-1	-1.059	-0.6889	-0.9714	-0.84485	-0.9714	-0.31075	-0.6666	-0.5564	-0.6215	-0.8625	-0.7859	-0.6666	-0.9159	-1.218
ycgL 	b1179	orf,_hypothetical_protein	-0.732728301	0.000125	-12.9657842847	-0.4941	0	-0.2688	0.08406	0.4542	0.2141	-0.1203	-0.304	0.1243	0.3334	0.6041	0.05658	0.01436	0.433	-1.599	-1.12	-1.515	-0.9434	-0.9434	-0.51165	-0.5353	-1.358	-0.72265	-1.322	-0.68035	-1.12	-0.56	-0.5146	-0.5564	-0.2863	-0.737	-0.3585	-1.474	-1.889	-2.059
b1809 	b1809	orf,_hypothetical_protein	-0.804025746	0.000125	-12.9657842847	0.6041	0.6229	0.111	0.4854	0.2869	0.505991	0.4647	0.6871	1.111	0.9486	-0.1203	0.4957	0.5261	-0.3401	-0.4739	-1.059	-1	-0.6897	0.189	-0.3402	-0.304	-0.3585	-0.7139	-1.152	-1.305	0.2987	-0.10045	-0.2345	-0.4344	-1.252	-1.059	-0.8365	-0.6439	-0.5564	-0.7131
dapA 	b2478	dihydrodipicolinate_synthase	-0.880699191	0.000125	-12.9657842847	-0.05889	0.1635	-0.1047	0.07039	0.3785	0.09761	-0.3771	-0.04394	0.516	0.4222	-0.1203	-0.454	0.1243	0.1763	-0.737	-0.5995	-0.1361	-0.5564	-0.1361	-0.9717	-0.5778	-0.9434	-0.99425	-1.474	-1.07425	-1.218	-0.626	-0.5564	-1.184	-1.556	-1.556	-1.152	-0.7131	-1.644	-2.059
tolR 	b0738	putative_inner_membrane_protein,_involved_in_the_tonB-independent_uptake_of_group_A_colicins	-0.749391658	0.000125	-12.9657842847	-0.2009	0.263	0.2141	-0.5778	-0.6666	-0.08927	-0.1681	-0.1203	-0.3959	-0.3771	0.04264	-0.3959	-0.1203	-0.304	-1.252	-1.474	-0.6666	-0.415	-1.059	-1.4745	-1.152	-1.599	-1.1815	-0.4344	-1.12	-1.943	-0.576	-1	-1.252	-0.3959	-1.252	-1.396	-1.515	-2.252	-2.474
yibP 	b3613	putative_membrane_protein	-0.755268925	0.000125	-12.9657842847	0.263	0.5059	-0.08927	0.09761	0.3561	0.2016	0.04264	0.1375	-0.2345	0.05658	-0.5353	-0.415	-0.5564	-0.5353	-0.3219	-0.9714	-0.7859	-0.6666	-1.089	-1.2085	-1.12	-1.059	-0.9093	-0.6897	-1.1205	-2.252	-0.661	-1.889	-1.322	-1.252	-1.218	-0.9714	-0.3771	-1.059	-1.029
yhbT 	b3157	orf,_hypothetical_protein	-0.816517914	0.000125	-12.9657842847	0.05658	0.08406	-0.2515	0.4957	0.263	-0.1844	-0.05889	0.02857	0.546	0.433	0.2869	0.3103	0.111	0.6599	-0.04394	-0.427964	-0.3959	-0.4739	-0.5564	-0.5896	-0.3585	-0.9434	-0.5778	-1.152	-0.81185	-0.9434	-0.778	-1.089	-0.7612	-1.12	-1.029	-0.4739	-0.9714	-0.9434	-0.08927
yajD 	b0410	orf,_hypothetical_protein	-0.738814758	0.000125	-12.9657842847	-0.05889	0.07039	-0.2688	-0.1047	-0.1047	0.275	-0.02915	-0.074	-0.1047	-0.1047	-0.3959	-0.2176	0.02857	0.05658	-0.889	-1.152	-1.515	-0.5353	-0.5353	-0.44515	-0.6897	-0.4941	-0.428	-0.6215	-0.4717	-0.9714	-0.43125	-1.286	-1.396	-1.837	-1.889	-0.4739	-0.6439	-1.12	-1.474
yfgA 	b2516	putative_membrane_protein	-0.843992643	0.000125	-12.9657842847	-0.152	0.2265	0.1635	0.2265	0.02857	0.3103	0.4222	0.3103	0.2016	0.08406	0.02857	-0.2176	0.2265	-0.152	-0.9434	-0.7612	-0.4739	-0.5995	-0.2515	-0.62305	-0.4739	-0.5146	-0.805	-0.5146	-0.913	-0.3959	-0.2889	-0.5778	-1.252	-1.474	-1.322	-0.6666	-0.3959	-0.737	-1.059
panC 	b0133	pantothenate_synthetase	-0.799642516	0.000125	-12.9657842847	0.4222	0.6781	-0.02915	0.6041	0.4957	0.2265	0.275	0.09761	0.251	0.4854	-0.3219	-0.3771	0.07039	-0.2863	-0.7131	-0.7131	-0.4941	-1.184	-0.4739	-0.6989	-0.7612	-0.7859	-0.52855	-0.9159	-0.8685	-0.737	-0.43125	-0.4941	-0.2863	-0.415	-0.415	-0.4941	-0.4941	-0.7131	-0.7612
insB_2 	b0264	IS1_protein_InsB	-0.700289824	0.000125	-12.9657842847	-0.02915	-0.02915	0.1763	0.1243	0.1635	0.1506	0.1635	0.189	0.5059	0.4436	-0.152	-0.1681	0.263	0.2869	-0.2345	-0.3401	0.01436	0.05658	-1.059	-0.5906	-0.4739	-1.184	-0.4356	-1.029	-0.228	-0.8625	-0.4857	-1.599	-1.252	-0.889	-0.5146	-0.304	-0.415	-0.5353	-0.889
rna 	b0611	RNase_I,_cleaves_phosphodiester_bond_between_any_two_nucleotides	-0.759130828	0.000125	-12.9657842847	-0.304	0.1506	0.251	-0.5778	-0.454	0.1243	0.08406	-0.0145	-0.3771	-0.1681	-0.3401	-0.415	0.2016	0.09761	-0.889	-1.12	-0.6897	-0.3585	-0.5995	-1.11895	-1.152	-0.6897	-1.474	-0.6897	-1.1045	-1.252	-0.4717	-0.7131	-0.8365	-1.556	-1.218	-0.6439	-0.4941	-0.8625	-0.811
yacL 	b0119	orf,_hypothetical_protein	-0.786395906	0.000125	-12.9657842847	0.1243	0.111	0.2265	-0.304	0.02857	0.5656	0.5059	0.585	0.4751	0.4436	0.2141	0.2265	0.3561	0.4751	0.07039	-0.5778	-0.415	-0.1844	-0.3219	-0.19515	-0.2863	-0.2345	-0.45895	-0.3585	-0.47515	0.1763	-0.14315	-0.3771	-0.4344	-0.4739	-0.6439	-0.1681	-0.4739	-0.3771	-1.184
yleB 	b0662	orf,_hypothetical_protein	0.788263556	0.000125	-12.9657842847	-0.08927	0.1506	0.1763	-0.08927	0.07039	0.4222	0.5261	0.5558	-0.074	0.2016	-0.152	-0.1047	-0.1203	0.02857	0.9635	0.696	0.4751	0.5945	0.7049	0.6737	0.5558	0.9561	0.8796	1.692	0.929	0.6599	0.4078	0.757	1.07	0.8875	1.245	0.4005	0.9635	1.281	1.516
rfaI 	b3627	UDP-D-galactose:(glucosyl)lipopolysaccharide-_alpha-1,3-D-galactosyltransferase	0.777272873	0.000125	-12.9657842847	0.08406	0.3334	0.84	-0.074	0.2987	0.189	0.251	0.1375	-0.2688	-0.2176	0.1375	0.2016	-0.1047	-0.3959	0.8074	0.4854	1	0.6415	1.17	0.3278	0.6415	1.322	0.38545	1.411	0.6816	1.501	0.7975	0.9855	1.609	1.428	1.227	0.903	1.778	1.753	1.692
b1330 	b1330	orf,_hypothetical_protein	0.814419349	0.000125	-12.9657842847	-0.2176	-0.05889	-0.152	-0.1844	-0.2345	0.2388	0.251	0.1635	0.07039	-0.02915	-0.2863	-1.029	0.1635	-1.152	1.322	2.257	0.8797	0.903	0.6871	0.5321	0.5753	1.575	1.0555	1.88	1.2385	1.31	0.5785	0.4542	1.05	1.485	1.316	1.428	1.521	1.281	1.021
fixA 	b0041	probable_flavoprotein_subunit,_carnitine_metabolism	0.826581509	0.000125	-12.9657842847	-0.6439	-0.6897	0.1375	0.07039	0.3561	-0.02915	0.5361	-0.5146	0.04264	-0.3585	-1	-0.5353	-1.322	-0.3219	0.4114	0.661902	0.4854	0.696	0.585	0.597	0.1635	1.195	0.581	1.251	0.8556	1.459	0.6865	1.536	0.856	1.766	1.599	1.305	1.609	2.157	1.989
mcrB 	b4346	component_of_McrBC_5-methylcytosine_restriction_system	0.907646442	0.000125	-12.9657842847	0.3219	0.3103	0.1506	0.09761	0.02857	-0.1844	-0.2863	-0.3959	0.07039	0.1763	0.4114	0.4647	0.09761	0.08406	0.5261	1.604	1.864	1.911	1.604	1.0611	0.9411	1.422	1.132	1.506	1.923	2.176	0.9455	1.163	1.526	2.144	2.316	1.907	1.7	1.709	1.709
mcrC 	b4345	component_of_McrBC_5-methylcytosine_restriction_system,_expands_range_of_sequences_restricted	0.8413912	0.000125	-12.9657842847	-0.737	-0.2009	-0.2515	-0.1047	-0.2688	-0.6439	-1	-0.889	-0.3959	-0.415	0.1635	0.6871	0.8319	0.1635	0.4436	1.807	2.064	2.16	1.406	1.0018	0.9486	1.189	0.474	1.575	1.538	2.036	0.8435	0.546	0.8718	1.891	2.331	2.025	1.687	1.496	1.604
deoA 	b4382	thymidine_phosphorylase	0.803102574	0.000125	-12.9657842847	-0.6215	-0.3585	-0.6215	-0.5564	-0.811	-0.3401	-0.5353	-0.6897	-0.6897	-0.7612	0.546	0.2869	0.3674	0.08406	1	0.6508	1.043	1.454	0.7225	0.1296	0.4647	1.848	1.391	2.513	2.3275	3.197	1.4745	0.1506	0.6415	2.417	3.359	2.17	0.4005	1.251	0.9486
deoC 	b4381	2-deoxyribose-5-phosphate_aldolase	0.858317171	0.000125	-12.9657842847	0	-0.08927	-0.9714	-0.4739	-0.7131	-0.6439	-0.6439	-0.6666	-0.5353	-0.811	-0.3219	0.01436	0.6229	0.4005	0.7225	1.566	2.275	1.96	0.8875	0.4143	0.3896	1.967	1.1075	2.348	2.3235	3.189	1.7335	0.111	1.433	3.487	3.734	3.449	1.281	1.618	2.134
